;foto;localizacao;nome
0;./Mulheres Palestrantes_files/tumblr_n8g0ld4jND1tfojqwo1_1280.jpg;Caxias do Sul/RS;Adriana Antunes
1;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAqwAAAAJDE0YmE0MmIxLWM5NjMtNDQ5MC05M2FjLWNjMDFjOGU5NzA1Zg.jpg;Porto Alegre/RS;Adriana da Rosa Amaral
2;./Mulheres Palestrantes_files/07ac697bcff40050a82cb4503de9eb68.png;São Paulo/SP;Alda Rocha
3;./Mulheres Palestrantes_files/0ccfeff.jpg;Porto Alegre/RS;Alessandra Guglieri
4;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Alice Coutinho
5;./Mulheres Palestrantes_files/AlinedeCampos.jpg;Porto Alegre/RS;Aline de Campos
6;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAYFAAAAJDVkMzNjY2U2LTNjMGQtNDE5NC1hNDgxLTBmM2RhY2MyYjBiNQ.jpg;Belém/PA;Aline M. C. Freitas
7;./Mulheres Palestrantes_files/profile.jpg;Curitiba/PR;Aline Pêgas
8;./Mulheres Palestrantes_files/allinejajah-1418015868_280.jpg;Goiânia/GO;Alline Jajah
9;./Mulheres Palestrantes_files/26e9188.jpg;São Paulo/SP, Rio de Janeiro/RJ, Brasília/DF e Goiânia/GO;Alline Oliveira
10;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAcsAAAAJDc5ODNjOTU3LWE5MjItNGZjNi04ZjJkLTYwODJlYjU3OWYyNw.jpg;Belém/PA;Alynne Cid
11;./Mulheres Palestrantes_files/b1888a06cb886303500bc65c1d81f200.jpeg;Aracaju/SE;Amanda Santana
12;./Mulheres Palestrantes_files/ff491a846bf9e5f3f5d081787ff54ae2.jpeg;Porto Alegre/RS;Amanda Silva Vieira
13;./Mulheres Palestrantes_files/3ab1d4a265ad9289afe10956a78271df.jpeg;Sorocaba/SP;Amanda Vilela
14;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAigAAAAJDc4Y2E4ZjUyLTVhYzAtNDgxNi05YTk0LWZhY2M5OWQ1Y2MzNA.jpg;Belo Horizonte/MG;Amanda Zacarias Marinho
15;./Mulheres Palestrantes_files/9038852;Recife/PE;Amélia Pessoa
16;./Mulheres Palestrantes_files/ts6SYp9G_400x400.jpg;Salvador/BA;Ana Antar
17;./Mulheres Palestrantes_files/8314551;Brasília/DF;Ana Barcellos
18;./Mulheres Palestrantes_files/0b16903eeb7899542ce526c21eee7c74.jpeg;Florianópolis/SC;Ana Carolina Alves Rodrigues
19;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMDAAAAJDRiZDJjMDczLWE5MWMtNGU0Yi04ZTc4LTk5NjU2M2VmNTlmNQ.jpg;Manaus/AM;Ana Clarissa
20;./Mulheres Palestrantes_files/0_pIHHOU-J17PpZDyH.jpg;São Paulo/SP;Ana Del Mar
21;./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAmTAAAAJDY4MGJhMGI5LTBhNmEtNDU4Yi04ZWVlLWE1ZjFhNzdlODNmZg.jpg;São Paulo/SP;Ana Fontes
22;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAhkAAAAJDc3MjI1MDk3LWFiMDctNDNlYi1iYmJhLTEwYjA3NTBkNGVmOA.jpg;Rio de Janeiro/RJ;Ana Julia Ghirello
23;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgUAAAAJGI2MjVlZjQwLTQzMzAtNDE3Zi1hZGQ1LWRmZGI5NmEzNzE1NA.jpg;Recife/PE;Ana Luíza Avellar
24;./Mulheres Palestrantes_files/10088900;São Paulo/SP;Ana Luiza Bastos
25;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAi8AAAAJGM4ZDM3NDk0LTcxNmEtNDBjYy1hODFlLWQ0Yzg0ZmViMjUxMA.jpg;Ilhabela/SP;Ana Paula Coelho Barbosa
26;./Mulheres Palestrantes_files/27858278_2471054366452191_7904831545054840493_n.jpg;Teresina/PI;Ana Paula da Silva Mendes
27;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Ana Paula de Luca
28;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Ana Paula Gaspar
29;./Mulheres Palestrantes_files/38e1ead1b5834e26fb681116e6b7ebf5.jpeg;Belo Horizonte/MG;Ana Paula Gomes
30;./Mulheres Palestrantes_files/placeholder-female.jpg;Sobral/CE;Ana Paula Marques
31;./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAxkAAAAJGJmYTRmMzUzLWYzYjYtNDQ2ZS04MWM3LTAxMjIxZTVhMGJlOA.jpg;Salvador/BA;Ana Paula Vargas Maia
32;./Mulheres Palestrantes_files/5718645;Itajubá/MG;Ana Raquel Calháu Pereira
33;./Mulheres Palestrantes_files/fbcae7dfc50e5e33d18cae175d957c64.jpeg;Campina Grande/PB;Ana Ribeiro
34;./Mulheres Palestrantes_files/a4d2fe468c774392ea7deb9efb9e61f5.jpeg;São Paulo e Campinas/SP;Ana Rute Mendes
35;./Mulheres Palestrantes_files/I8PSmdIN.jpg;Porto Alegre/RS;Ana Schwendler
36;./Mulheres Palestrantes_files/3c368abae57d0fb60ff976fb1be47d99;Manaus/AM;Ananda Carvalho
37;./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAquAAAAJDMzZTZlOTE4LWZmNTctNDUwMy05NzExLTI3ODQ2MDM1M2ExNg.jpg;São Paulo/SP;Andrea Barberà
38;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgXAAAAJGU1YmVlMjZmLWI4N2UtNGVlNi1iYzlhLWUyMjQ0YTA0YzI3ZQ.jpg;São Paulo/SP;Andrea Siqueira
39;./Mulheres Palestrantes_files/qvDU2DKf.jpg;São Paulo/SP;Andrea Schostack
40;./Mulheres Palestrantes_files/400922;São Paulo/SP;Andréa Zambrana
41;./Mulheres Palestrantes_files/ca79853a5595723513d7da6caf13c94e.jpeg;Rio de Janeiro/RJ;Andressa Chiara
42;./Mulheres Palestrantes_files/272868;Rio de Janeiro/RJ e;Andressa Sivolella
43;./Mulheres Palestrantes_files/19ffbedf91fda0d0bc3f72d719902d66.jpeg; São Paulo/SP;Andreza Leite
44;./Mulheres Palestrantes_files/placeholder-female.jpg;Recife/PE;Anielle Guedes
45;./Mulheres Palestrantes_files/0afb5c6c63c9e0ce7666528524ed6727.jpeg;São Paulo/SP;Anna Cruz
46;./Mulheres Palestrantes_files/6d3f646a5629bc5e23a73cec15cb4975.jpeg;Rio de Janeiro/RJ e São Paulo/SP;Annelise Gripp
47;./Mulheres Palestrantes_files/anyssaferreira-296x300.jpg;Rio de Janeiro/RJ;Anyssa Ferreira
48;./Mulheres Palestrantes_files/1ccd5f673dc4ab769c25180b5b4da5e1.jpeg;São Paulo/SP;Ariadne Pinheiro
49;./Mulheres Palestrantes_files/416a736d3a63450abc19b91bbb7ce64b;Rio de Janeiro/RJ;Ariane Parra
